Vol;Paris;Lyon;Nice;Nantes;Strasbourg;Montpellier;Lille;Rennes;Reims;Saint-Étienne;Angers;Grenoble;Nîme;Aix-en-Provence;Brest
Paris;0;392;686;343;397;595;204;309;130;410;265;482;579;638;505
Lyon;392;0;299;515;384;250;557;559;394;49;453;95;217;253;764
Nice;686;299;0;791;544;273;833;848;666;299;739;205;234;148;1045
Nantes;343;515;791;0;710;584;508;100;472;497;81;604;595;683;255
Strasbourg;397;384;544;710;0;629;407;699;282;433;629;408;589;590;901
Montpellier;595;250;273;584;629;0;783;660;628;207;551;228;46;127;836
Lille;204;557;833;508;407;783;0;444;167;586;439;637;762;810;600
Rennes;309;559;848;100;699;660;444;0;438;549;110;652;666;751;210
Reims;130;394;666;472;282;628;167;438;0;425;392;471;603;646;631
Saint-Étienne;410;49;299;497;433;207;586;549;425;0;441;109;178;229;749
Angers;265;453;739;81;629;551;439;110;392;441;0;545;556;641;310
Grenoble;482;95;205;604;408;228;637;652;471;109;545;0;185;185;855
Nîme;579;217;234;595;589;46;762;666;603;178;556;185;0;94;849
Aix-en-Provence;638;253;148;683;590;127;810;751;646;229;641;185;94;0;938
Brest;505;764;1045;255;901;836;600;210;631;749;310;855;849;938;0
